Venue:,Capacity:,Timestamp:
MyFitness Viimsi,31%,2021-05-06 14:07:00.289943
MyFitness Viljandi,43%,2021-05-06 14:07:00.289944
MyFitness Viru,25%,2021-05-06 14:07:00.289945
MyFitness Ülemiste City,44%,2021-05-06 14:07:00.289946
MyFitness Balti Jaama Turg,46%,2021-05-06 15:07:36.181725
MyFitness Järve,48%,2021-05-06 15:07:36.181729
MyFitness Kristiine,37%,2021-05-06 15:07:36.181730
MyFitness Lasnamäe Kärberi,25%,2021-05-06 15:07:36.181731
MyFitness Lasnamäe Linnamäe,37%,2021-05-06 15:07:36.181733
MyFitness Lasnamäe Virbi,22%,2021-05-06 15:07:36.181734
MyFitness Mustamäe,58%,2021-05-06 15:07:36.181735
MyFitness Narva,64%,2021-05-06 15:07:36.181736
MyFitness Pirita,37%,2021-05-06 15:07:36.181738
MyFitness Postimaja,34%,2021-05-06 15:07:36.181739
MyFitness Rocca al Mare,88%,2021-05-06 15:07:36.181740
MyFitness Rävala,91%,2021-05-06 15:07:36.181741
MyFitness Solaris,7%,2021-05-06 15:07:36.181743
MyFitness Tartu Annelinn,61%,2021-05-06 15:07:36.181744
MyFitness Tartu Kesklinn,54%,2021-05-06 15:07:36.181745
MyFitness Tartu Lõunakeskus,40%,2021-05-06 15:07:36.181746
MyFitness Viimsi,48%,2021-05-06 15:07:36.181747
MyFitness Viljandi,91%,2021-05-06 15:07:36.181749
MyFitness Viru,35%,2021-05-06 15:07:36.181750
MyFitness Ülemiste City,48%,2021-05-06 15:07:36.181751
MyFitness Balti Jaama Turg,49%,2021-05-06 16:07:22.563394
MyFitness Järve,48%,2021-05-06 16:07:22.563399
MyFitness Kristiine,43%,2021-05-06 16:07:22.563400
MyFitness Lasnamäe Kärberi,19%,2021-05-06 16:07:22.563401
MyFitness Lasnamäe Linnamäe,37%,2021-05-06 16:07:22.563403
MyFitness Lasnamäe Virbi,18%,2021-05-06 16:07:22.563404
MyFitness Mustamäe,50%,2021-05-06 16:07:22.563405
MyFitness Narva,61%,2021-05-06 16:07:22.563406
MyFitness Pirita,32%,2021-05-06 16:07:22.563408
MyFitness Postimaja,35%,2021-05-06 16:07:22.563409
MyFitness Rocca al Mare,94%,2021-05-06 16:07:22.563410
MyFitness Rävala,75%,2021-05-06 16:07:22.563411
MyFitness Solaris,12%,2021-05-06 16:07:22.563412
MyFitness Tartu Annelinn,53%,2021-05-06 16:07:22.563413
MyFitness Tartu Kesklinn,36%,2021-05-06 16:07:22.563414
MyFitness Tartu Lõunakeskus,35%,2021-05-06 16:07:22.563415
MyFitness Viimsi,39%,2021-05-06 16:07:22.563416
MyFitness Viljandi,82%,2021-05-06 16:07:22.563417
MyFitness Viru,32%,2021-05-06 16:07:22.563418
MyFitness Ülemiste City,71%,2021-05-06 16:07:22.563419
MyFitness Balti Jaama Turg,43%,2021-05-06 17:10:00.057711
MyFitness Järve,40%,2021-05-06 17:10:00.057716
MyFitness Kristiine,22%,2021-05-06 17:10:00.057717
MyFitness Lasnamäe Kärberi,13%,2021-05-06 17:10:00.057718
MyFitness Lasnamäe Linnamäe,22%,2021-05-06 17:10:00.057720
MyFitness Lasnamäe Virbi,13%,2021-05-06 17:10:00.057746
MyFitness Mustamäe,45%,2021-05-06 17:10:00.057747
MyFitness Narva,43%,2021-05-06 17:10:00.057748
MyFitness Pirita,27%,2021-05-06 17:10:00.057749
MyFitness Postimaja,29%,2021-05-06 17:10:00.057750
MyFitness Rocca al Mare,69%,2021-05-06 17:10:00.057751
MyFitness Rävala,55%,2021-05-06 17:10:00.057752
MyFitness Solaris,17%,2021-05-06 17:10:00.057759
MyFitness Tartu Annelinn,63%,2021-05-06 17:10:00.057760
MyFitness Tartu Kesklinn,16%,2021-05-06 17:10:00.057761
MyFitness Tartu Lõunakeskus,35%,2021-05-06 17:10:00.057762
MyFitness Viimsi,26%,2021-05-06 17:10:00.057763
MyFitness Viljandi,61%,2021-05-06 17:10:00.057764
MyFitness Viru,32%,2021-05-06 17:10:00.057765
MyFitness Ülemiste City,66%,2021-05-06 17:10:00.057766
MyFitness Balti Jaama Turg,21%,2021-05-06 18:08:26.329669
MyFitness Järve,31%,2021-05-06 18:08:26.329673
MyFitness Kristiine,14%,2021-05-06 18:08:26.329674
MyFitness Lasnamäe Kärberi,10%,2021-05-06 18:08:26.329675
MyFitness Lasnamäe Linnamäe,13%,2021-05-06 18:08:26.329677
MyFitness Lasnamäe Virbi,3%,2021-05-06 18:08:26.329678
MyFitness Mustamäe,27%,2021-05-06 18:08:26.329679
MyFitness Narva,36%,2021-05-06 18:08:26.329680
MyFitness Pirita,15%,2021-05-06 18:08:26.329682
MyFitness Postimaja,17%,2021-05-06 18:08:26.329683
MyFitness Rocca al Mare,38%,2021-05-06 18:08:26.329684
MyFitness Rävala,39%,2021-05-06 18:08:26.329685
MyFitness Solaris,17%,2021-05-06 18:08:26.329686
MyFitness Tartu Annelinn,29%,2021-05-06 18:08:26.329687
MyFitness Tartu Kesklinn,14%,2021-05-06 18:08:26.329688
MyFitness Tartu Lõunakeskus,10%,2021-05-06 18:08:26.329689
MyFitness Viimsi,21%,2021-05-06 18:08:26.329691
MyFitness Viljandi,30%,2021-05-06 18:08:26.329692
MyFitness Viru,10%,2021-05-06 18:08:26.329693
MyFitness Ülemiste City,31%,2021-05-06 18:08:26.329694
MyFitness Balti Jaama Turg,25%,2021-05-06 19:06:22.112763
MyFitness Järve,10%,2021-05-06 19:06:22.112766
MyFitness Kristiine,0%,2021-05-06 19:06:22.112767
MyFitness Lasnamäe Kärberi,6%,2021-05-06 19:06:22.112768
MyFitness Lasnamäe Linnamäe,6%,2021-05-06 19:06:22.112769
MyFitness Lasnamäe Virbi,1%,2021-05-06 19:06:22.112770
MyFitness Mustamäe,15%,2021-05-06 19:06:22.112771
MyFitness Narva,0%,2021-05-06 19:06:22.112772
MyFitness Pirita,5%,2021-05-06 19:06:22.112773
MyFitness Postimaja,5%,2021-05-06 19:06:22.112774
MyFitness Rocca al Mare,29%,2021-05-06 19:06:22.112775
MyFitness Rävala,25%,2021-05-06 19:06:22.112776
MyFitness Solaris,0%,2021-05-06 19:06:22.112777
MyFitness Tartu Annelinn,11%,2021-05-06 19:06:22.112778
MyFitness Tartu Kesklinn,5%,2021-05-06 19:06:22.112779
MyFitness Tartu Lõunakeskus,0%,2021-05-06 19:06:22.112780
MyFitness Viimsi,17%,2021-05-06 19:06:22.112781
MyFitness Viljandi,9%,2021-05-06 19:06:22.112782
MyFitness Viru,13%,2021-05-06 19:06:22.112783
MyFitness Ülemiste City,17%,2021-05-06 19:06:22.112784
MyFitness Balti Jaama Turg,6%,2021-05-06 20:06:27.989722
MyFitness Järve,0%,2021-05-06 20:06:27.989726
MyFitness Kristiine,0%,2021-05-06 20:06:27.989727
MyFitness Lasnamäe Kärberi,0%,2021-05-06 20:06:27.989728
MyFitness Lasnamäe Linnamäe,3%,2021-05-06 20:06:27.989730
MyFitness Lasnamäe Virbi,0%,2021-05-06 20:06:27.989731
MyFitness Mustamäe,0%,2021-05-06 20:06:27.989732
MyFitness Narva,0%,2021-05-06 20:06:27.989733
MyFitness Pirita,5%,2021-05-06 20:06:27.989733
MyFitness Postimaja,0%,2021-05-06 20:06:27.989734
MyFitness Rocca al Mare,9%,2021-05-06 20:06:27.989735
MyFitness Rävala,0%,2021-05-06 20:06:27.989736
MyFitness Solaris,0%,2021-05-06 20:06:27.989737
MyFitness Tartu Annelinn,0%,2021-05-06 20:06:27.989738
MyFitness Tartu Kesklinn,1%,2021-05-06 20:06:27.989739
MyFitness Tartu Lõunakeskus,0%,2021-05-06 20:06:27.989740
MyFitness Viimsi,1%,2021-05-06 20:06:27.989741
MyFitness Viljandi,7%,2021-05-06 20:06:27.989742
MyFitness Viru,5%,2021-05-06 20:06:27.989743
MyFitness Ülemiste City,1%,2021-05-06 20:06:27.989744
MyFitness Viimsi,0%,2021-05-06 22:06:48.649813
MyFitness Viimsi,0%,2021-05-06 23:06:16.195286
MyFitness Viimsi,0%,2021-05-07 00:08:33.243778
MyFitness Viimsi,0%,2021-05-07 01:07:22.915447
MyFitness Viimsi,0%,2021-05-07 02:06:44.374879
MyFitness Balti Jaama Turg,1%,2021-05-07 03:07:20.561547
MyFitness Rävala,9%,2021-05-07 03:07:20.561552
MyFitness Viimsi,0%,2021-05-07 03:07:20.561553
MyFitness Ülemiste City,1%,2021-05-07 03:07:20.561554
MyFitness Balti Jaama Turg,24%,2021-05-07 04:07:49.289150
MyFitness Järve,23%,2021-05-07 04:07:49.289154
MyFitness Kristiine,14%,2021-05-07 04:07:49.289155
MyFitness Lasnamäe Kärberi,6%,2021-05-07 04:07:49.289156
MyFitness Lasnamäe Linnamäe,13%,2021-05-07 04:07:49.289158
MyFitness Lasnamäe Virbi,1%,2021-05-07 04:07:49.289159
MyFitness Mustamäe,20%,2021-05-07 04:07:49.289160
MyFitness Narva,13%,2021-05-07 04:07:49.289161
MyFitness Pirita,2%,2021-05-07 04:07:49.289162
MyFitness Postimaja,15%,2021-05-07 04:07:49.289163
MyFitness Rocca al Mare,44%,2021-05-07 04:07:49.289164
MyFitness Rävala,40%,2021-05-07 04:07:49.289165
MyFitness Solaris,5%,2021-05-07 04:07:49.289166
MyFitness Tartu Annelinn,19%,2021-05-07 04:07:49.289167
MyFitness Tartu Kesklinn,25%,2021-05-07 04:07:49.289168
MyFitness Tartu Lõunakeskus,8%,2021-05-07 04:07:49.289169
MyFitness Viimsi,18%,2021-05-07 04:07:49.289170
MyFitness Viljandi,9%,2021-05-07 04:07:49.289171
MyFitness Viru,7%,2021-05-07 04:07:49.289172
MyFitness Ülemiste City,24%,2021-05-07 04:07:49.289173
MyFitness Balti Jaama Turg,42%,2021-05-07 05:07:16.833447
MyFitness Järve,23%,2021-05-07 05:07:16.833452
MyFitness Kristiine,30%,2021-05-07 05:07:16.833453
MyFitness Lasnamäe Kärberi,11%,2021-05-07 05:07:16.833454
MyFitness Lasnamäe Linnamäe,22%,2021-05-07 05:07:16.833455
MyFitness Lasnamäe Virbi,10%,2021-05-07 05:07:16.833456
MyFitness Mustamäe,26%,2021-05-07 05:07:16.833457
MyFitness Narva,34%,2021-05-07 05:07:16.833459
MyFitness Pirita,18%,2021-05-07 05:07:16.833460
MyFitness Postimaja,22%,2021-05-07 05:07:16.833461
MyFitness Rocca al Mare,46%,2021-05-07 05:07:16.833462
MyFitness Rävala,44%,2021-05-07 05:07:16.833463
MyFitness Solaris,26%,2021-05-07 05:07:16.833464
MyFitness Tartu Annelinn,13%,2021-05-07 05:07:16.833465
MyFitness Tartu Kesklinn,24%,2021-05-07 05:07:16.833466
MyFitness Tartu Lõunakeskus,19%,2021-05-07 05:07:16.833467
MyFitness Viimsi,10%,2021-05-07 05:07:16.833469
MyFitness Viljandi,25%,2021-05-07 05:07:16.833470
MyFitness Viru,8%,2021-05-07 05:07:16.833471
MyFitness Ülemiste City,41%,2021-05-07 05:07:16.833472
MyFitness Balti Jaama Turg,36%,2021-05-07 06:07:09.363142
MyFitness Järve,20%,2021-05-07 06:07:09.363146
MyFitness Kristiine,17%,2021-05-07 06:07:09.363147
MyFitness Lasnamäe Kärberi,12%,2021-05-07 06:07:09.363148
MyFitness Lasnamäe Linnamäe,28%,2021-05-07 06:07:09.363150
MyFitness Lasnamäe Virbi,16%,2021-05-07 06:07:09.363151
MyFitness Mustamäe,27%,2021-05-07 06:07:09.363152
MyFitness Narva,34%,2021-05-07 06:07:09.363153
MyFitness Pirita,28%,2021-05-07 06:07:09.363154
MyFitness Postimaja,18%,2021-05-07 06:07:09.363155
MyFitness Rocca al Mare,56%,2021-05-07 06:07:09.363156
MyFitness Rävala,37%,2021-05-07 06:07:09.363157
MyFitness Solaris,12%,2021-05-07 06:07:09.363159
MyFitness Tartu Annelinn,22%,2021-05-07 06:07:09.363160
MyFitness Tartu Kesklinn,14%,2021-05-07 06:07:09.363161
MyFitness Tartu Lõunakeskus,15%,2021-05-07 06:07:09.363162
MyFitness Viimsi,21%,2021-05-07 06:07:09.363163
MyFitness Viljandi,18%,2021-05-07 06:07:09.363164
MyFitness Viru,18%,2021-05-07 06:07:09.363165
MyFitness Ülemiste City,27%,2021-05-07 06:07:09.363166
MyFitness Balti Jaama Turg,28%,2021-05-07 07:07:33.206142
MyFitness Järve,30%,2021-05-07 07:07:33.206145
MyFitness Kristiine,18%,2021-05-07 07:07:33.206146
MyFitness Lasnamäe Kärberi,13%,2021-05-07 07:07:33.206147
MyFitness Lasnamäe Linnamäe,14%,2021-05-07 07:07:33.206148
MyFitness Lasnamäe Virbi,9%,2021-05-07 07:07:33.206149
MyFitness Mustamäe,26%,2021-05-07 07:07:33.206150
MyFitness Narva,32%,2021-05-07 07:07:33.206151
MyFitness Pirita,30%,2021-05-07 07:07:33.206152
MyFitness Postimaja,22%,2021-05-07 07:07:33.206153
MyFitness Rocca al Mare,50%,2021-05-07 07:07:33.206154
MyFitness Rävala,40%,2021-05-07 07:07:33.206155
MyFitness Solaris,7%,2021-05-07 07:07:33.206156
MyFitness Tartu Annelinn,19%,2021-05-07 07:07:33.206157
MyFitness Tartu Kesklinn,21%,2021-05-07 07:07:33.206158
MyFitness Tartu Lõunakeskus,15%,2021-05-07 07:07:33.206158
MyFitness Viimsi,17%,2021-05-07 07:07:33.206159
MyFitness Viljandi,20%,2021-05-07 07:07:33.206160
MyFitness Viru,18%,2021-05-07 07:07:33.206161
MyFitness Ülemiste City,22%,2021-05-07 07:07:33.206161
MyFitness Balti Jaama Turg,28%,2021-05-07 08:07:06.385180
MyFitness Järve,27%,2021-05-07 08:07:06.385185
MyFitness Kristiine,16%,2021-05-07 08:07:06.385186
MyFitness Lasnamäe Kärberi,20%,2021-05-07 08:07:06.385187
MyFitness Lasnamäe Linnamäe,30%,2021-05-07 08:07:06.385189
MyFitness Lasnamäe Virbi,13%,2021-05-07 08:07:06.385190
MyFitness Mustamäe,19%,2021-05-07 08:07:06.385191
MyFitness Narva,38%,2021-05-07 08:07:06.385192
MyFitness Pirita,22%,2021-05-07 08:07:06.385193
MyFitness Postimaja,18%,2021-05-07 08:07:06.385195
MyFitness Rocca al Mare,49%,2021-05-07 08:07:06.385195
MyFitness Rävala,37%,2021-05-07 08:07:06.385196
MyFitness Solaris,17%,2021-05-07 08:07:06.385197
MyFitness Tartu Annelinn,25%,2021-05-07 08:07:06.385198
MyFitness Tartu Kesklinn,22%,2021-05-07 08:07:06.385199
MyFitness Tartu Lõunakeskus,42%,2021-05-07 08:07:06.385200
MyFitness Viimsi,16%,2021-05-07 08:07:06.385201
MyFitness Viljandi,32%,2021-05-07 08:07:06.385252
MyFitness Viru,18%,2021-05-07 08:07:06.385253
MyFitness Ülemiste City,24%,2021-05-07 08:07:06.385254
MyFitness Balti Jaama Turg,30%,2021-05-07 09:06:31.212705
MyFitness Järve,43%,2021-05-07 09:06:31.212710
MyFitness Kristiine,32%,2021-05-07 09:06:31.212711
MyFitness Lasnamäe Kärberi,12%,2021-05-07 09:06:31.212712
MyFitness Lasnamäe Linnamäe,28%,2021-05-07 09:06:31.212713
MyFitness Lasnamäe Virbi,7%,2021-05-07 09:06:31.212714
MyFitness Mustamäe,28%,2021-05-07 09:06:31.212715
MyFitness Narva,30%,2021-05-07 09:06:31.212716
MyFitness Pirita,25%,2021-05-07 09:06:31.212716
MyFitness Postimaja,11%,2021-05-07 09:06:31.212717
MyFitness Rocca al Mare,55%,2021-05-07 09:06:31.212718
MyFitness Rävala,39%,2021-05-07 09:06:31.212719
MyFitness Solaris,21%,2021-05-07 09:06:31.212720
MyFitness Tartu Annelinn,56%,2021-05-07 09:06:31.212720
MyFitness Tartu Kesklinn,39%,2021-05-07 09:06:31.212721
MyFitness Tartu Lõunakeskus,35%,2021-05-07 09:06:31.212722
MyFitness Viimsi,16%,2021-05-07 09:06:31.212723
MyFitness Viljandi,43%,2021-05-07 09:06:31.212723
MyFitness Viru,25%,2021-05-07 09:06:31.212724
MyFitness Ülemiste City,27%,2021-05-07 09:06:31.212725
MyFitness Balti Jaama Turg,45%,2021-05-07 10:06:59.617246
MyFitness Järve,35%,2021-05-07 10:06:59.617252
MyFitness Kristiine,20%,2021-05-07 10:06:59.617253
MyFitness Lasnamäe Kärberi,22%,2021-05-07 10:06:59.617254
MyFitness Lasnamäe Linnamäe,24%,2021-05-07 10:06:59.617256
MyFitness Lasnamäe Virbi,16%,2021-05-07 10:06:59.617257
MyFitness Mustamäe,32%,2021-05-07 10:06:59.617258
MyFitness Narva,29%,2021-05-07 10:06:59.617259
MyFitness Pirita,18%,2021-05-07 10:06:59.617260
MyFitness Postimaja,23%,2021-05-07 10:06:59.617262
MyFitness Rocca al Mare,50%,2021-05-07 10:06:59.617263
MyFitness Rävala,43%,2021-05-07 10:06:59.617264
MyFitness Solaris,7%,2021-05-07 10:06:59.617265
MyFitness Tartu Annelinn,47%,2021-05-07 10:06:59.617266
MyFitness Tartu Kesklinn,36%,2021-05-07 10:06:59.617267
MyFitness Tartu Lõunakeskus,21%,2021-05-07 10:06:59.617268
MyFitness Viimsi,16%,2021-05-07 10:06:59.617269
MyFitness Viljandi,27%,2021-05-07 10:06:59.617270
MyFitness Viru,25%,2021-05-07 10:06:59.617271
MyFitness Ülemiste City,32%,2021-05-07 10:06:59.617272
MyFitness Balti Jaama Turg,46%,2021-05-07 11:06:27.922163
MyFitness Järve,37%,2021-05-07 11:06:27.922167
MyFitness Kristiine,25%,2021-05-07 11:06:27.922169
MyFitness Lasnamäe Kärberi,14%,2021-05-07 11:06:27.922170
MyFitness Lasnamäe Linnamäe,11%,2021-05-07 11:06:27.922171
MyFitness Lasnamäe Virbi,10%,2021-05-07 11:06:27.922172
MyFitness Mustamäe,32%,2021-05-07 11:06:27.922173
MyFitness Narva,27%,2021-05-07 11:06:27.922174
MyFitness Pirita,37%,2021-05-07 11:06:27.922175
MyFitness Postimaja,23%,2021-05-07 11:06:27.922176
MyFitness Rocca al Mare,40%,2021-05-07 11:06:27.922177
MyFitness Rävala,36%,2021-05-07 11:06:27.922178
MyFitness Solaris,7%,2021-05-07 11:06:27.922180
MyFitness Tartu Annelinn,26%,2021-05-07 11:06:27.922181
MyFitness Tartu Kesklinn,32%,2021-05-07 11:06:27.922182
MyFitness Tartu Lõunakeskus,31%,2021-05-07 11:06:27.922183
MyFitness Viimsi,23%,2021-05-07 11:06:27.922184
MyFitness Viljandi,23%,2021-05-07 11:06:27.922185
MyFitness Viru,23%,2021-05-07 11:06:27.922186
MyFitness Ülemiste City,22%,2021-05-07 11:06:27.922187
MyFitness Balti Jaama Turg,27%,2021-05-07 12:07:06.453322
MyFitness Järve,39%,2021-05-07 12:07:06.453330
MyFitness Kristiine,29%,2021-05-07 12:07:06.453331
MyFitness Lasnamäe Kärberi,21%,2021-05-07 12:07:06.453332
MyFitness Lasnamäe Linnamäe,24%,2021-05-07 12:07:06.453334
MyFitness Lasnamäe Virbi,9%,2021-05-07 12:07:06.453335
MyFitness Mustamäe,39%,2021-05-07 12:07:06.453336
MyFitness Narva,45%,2021-05-07 12:07:06.453337
MyFitness Pirita,42%,2021-05-07 12:07:06.453338
MyFitness Postimaja,29%,2021-05-07 12:07:06.453339
MyFitness Rocca al Mare,81%,2021-05-07 12:07:06.453340
MyFitness Rävala,68%,2021-05-07 12:07:06.453341
MyFitness Solaris,19%,2021-05-07 12:07:06.453342
MyFitness Tartu Annelinn,49%,2021-05-07 12:07:06.453343
MyFitness Tartu Kesklinn,34%,2021-05-07 12:07:06.453344
MyFitness Tartu Lõunakeskus,48%,2021-05-07 12:07:06.453345
MyFitness Viimsi,40%,2021-05-07 12:07:06.453346
MyFitness Viljandi,39%,2021-05-07 12:07:06.453347
MyFitness Viru,27%,2021-05-07 12:07:06.453348
MyFitness Ülemiste City,37%,2021-05-07 12:07:06.453349
MyFitness Balti Jaama Turg,24%,2021-05-07 13:06:45.395387
MyFitness Järve,26%,2021-05-07 13:06:45.395392
MyFitness Kristiine,29%,2021-05-07 13:06:45.395393
MyFitness Lasnamäe Kärberi,19%,2021-05-07 13:06:45.395394
MyFitness Lasnamäe Linnamäe,25%,2021-05-07 13:06:45.395395
MyFitness Lasnamäe Virbi,10%,2021-05-07 13:06:45.395397
MyFitness Mustamäe,28%,2021-05-07 13:06:45.395398
MyFitness Narva,39%,2021-05-07 13:06:45.395399
MyFitness Pirita,33%,2021-05-07 13:06:45.395400
MyFitness Postimaja,20%,2021-05-07 13:06:45.395401
MyFitness Rocca al Mare,64%,2021-05-07 13:06:45.395402
MyFitness Rävala,52%,2021-05-07 13:06:45.395403
MyFitness Solaris,12%,2021-05-07 13:06:45.395404
MyFitness Tartu Annelinn,46%,2021-05-07 13:06:45.395405
MyFitness Tartu Kesklinn,33%,2021-05-07 13:06:45.395406
MyFitness Tartu Lõunakeskus,33%,2021-05-07 13:06:45.395407
MyFitness Viimsi,35%,2021-05-07 13:06:45.395408
MyFitness Viljandi,30%,2021-05-07 13:06:45.395410
MyFitness Viru,22%,2021-05-07 13:06:45.395411
MyFitness Ülemiste City,34%,2021-05-07 13:06:45.395412
MyFitness Balti Jaama Turg,34%,2021-05-07 14:06:37.053706
MyFitness Järve,43%,2021-05-07 14:06:37.053711
MyFitness Kristiine,36%,2021-05-07 14:06:37.053711
MyFitness Lasnamäe Kärberi,16%,2021-05-07 14:06:37.053713
MyFitness Lasnamäe Linnamäe,27%,2021-05-07 14:06:37.053714
MyFitness Lasnamäe Virbi,12%,2021-05-07 14:06:37.053715
MyFitness Mustamäe,28%,2021-05-07 14:06:37.053716
MyFitness Narva,48%,2021-05-07 14:06:37.053716
MyFitness Pirita,38%,2021-05-07 14:06:37.053718
MyFitness Postimaja,32%,2021-05-07 14:06:37.053719
MyFitness Rocca al Mare,52%,2021-05-07 14:06:37.053719
MyFitness Rävala,43%,2021-05-07 14:06:37.053720
MyFitness Solaris,17%,2021-05-07 14:06:37.053721
MyFitness Tartu Annelinn,56%,2021-05-07 14:06:37.053722
MyFitness Tartu Kesklinn,34%,2021-05-07 14:06:37.053723
MyFitness Tartu Lõunakeskus,27%,2021-05-07 14:06:37.053724
MyFitness Viimsi,34%,2021-05-07 14:06:37.053725
MyFitness Viljandi,36%,2021-05-07 14:06:37.053726
MyFitness Viru,20%,2021-05-07 14:06:37.053727
MyFitness Ülemiste City,47%,2021-05-07 14:06:37.053728
MyFitness Balti Jaama Turg,30%,2021-05-07 15:06:33.995159
MyFitness Järve,49%,2021-05-07 15:06:33.995163
MyFitness Kristiine,26%,2021-05-07 15:06:33.995164
MyFitness Lasnamäe Kärberi,14%,2021-05-07 15:06:33.995165
MyFitness Lasnamäe Linnamäe,25%,2021-05-07 15:06:33.995166
MyFitness Lasnamäe Virbi,12%,2021-05-07 15:06:33.995167
MyFitness Mustamäe,30%,2021-05-07 15:06:33.995168
MyFitness Narva,43%,2021-05-07 15:06:33.995169
MyFitness Pirita,37%,2021-05-07 15:06:33.995171
MyFitness Postimaja,23%,2021-05-07 15:06:33.995172
MyFitness Rocca al Mare,56%,2021-05-07 15:06:33.995173
MyFitness Rävala,61%,2021-05-07 15:06:33.995174
MyFitness Solaris,10%,2021-05-07 15:06:33.995175
MyFitness Tartu Annelinn,43%,2021-05-07 15:06:33.995176
MyFitness Tartu Kesklinn,36%,2021-05-07 15:06:33.995176
MyFitness Tartu Lõunakeskus,25%,2021-05-07 15:06:33.995177
MyFitness Viimsi,20%,2021-05-07 15:06:33.995178
MyFitness Viljandi,41%,2021-05-07 15:06:33.995180
MyFitness Viru,50%,2021-05-07 15:06:33.995180
MyFitness Ülemiste City,43%,2021-05-07 15:06:33.995181
MyFitness Balti Jaama Turg,24%,2021-05-07 16:06:31.909911
MyFitness Järve,37%,2021-05-07 16:06:31.909915
MyFitness Kristiine,20%,2021-05-07 16:06:31.909916
MyFitness Lasnamäe Kärberi,18%,2021-05-07 16:06:31.909917
MyFitness Lasnamäe Linnamäe,29%,2021-05-07 16:06:31.909918
MyFitness Lasnamäe Virbi,10%,2021-05-07 16:06:31.909920
MyFitness Mustamäe,38%,2021-05-07 16:06:31.909921
MyFitness Narva,23%,2021-05-07 16:06:31.909922
MyFitness Pirita,37%,2021-05-07 16:06:31.909923
MyFitness Postimaja,15%,2021-05-07 16:06:31.909924
MyFitness Rocca al Mare,69%,2021-05-07 16:06:31.909925
MyFitness Rävala,53%,2021-05-07 16:06:31.909926
MyFitness Solaris,10%,2021-05-07 16:06:31.909927
MyFitness Tartu Annelinn,28%,2021-05-07 16:06:31.909928
MyFitness Tartu Kesklinn,36%,2021-05-07 16:06:31.909929
MyFitness Tartu Lõunakeskus,23%,2021-05-07 16:06:31.909930
MyFitness Viimsi,34%,2021-05-07 16:06:31.909931
MyFitness Viljandi,27%,2021-05-07 16:06:31.909932
MyFitness Viru,28%,2021-05-07 16:06:31.909933
MyFitness Ülemiste City,42%,2021-05-07 16:06:31.909934
MyFitness Balti Jaama Turg,15%,2021-05-07 17:06:41.544840
MyFitness Järve,25%,2021-05-07 17:06:41.544844
MyFitness Kristiine,14%,2021-05-07 17:06:41.544846
MyFitness Lasnamäe Kärberi,14%,2021-05-07 17:06:41.544847
MyFitness Lasnamäe Linnamäe,18%,2021-05-07 17:06:41.544848
MyFitness Lasnamäe Virbi,4%,2021-05-07 17:06:41.544849
MyFitness Mustamäe,22%,2021-05-07 17:06:41.544850
MyFitness Narva,43%,2021-05-07 17:06:41.544851
MyFitness Pirita,30%,2021-05-07 17:06:41.544853
MyFitness Postimaja,15%,2021-05-07 17:06:41.544854
MyFitness Rocca al Mare,65%,2021-05-07 17:06:41.544855
MyFitness Rävala,39%,2021-05-07 17:06:41.544856
MyFitness Solaris,12%,2021-05-07 17:06:41.544857
MyFitness Tartu Annelinn,38%,2021-05-07 17:06:41.544858
MyFitness Tartu Kesklinn,16%,2021-05-07 17:06:41.544859
MyFitness Tartu Lõunakeskus,21%,2021-05-07 17:06:41.544860
MyFitness Viimsi,18%,2021-05-07 17:06:41.544861
MyFitness Viljandi,23%,2021-05-07 17:06:41.544862
MyFitness Viru,20%,2021-05-07 17:06:41.544863
MyFitness Ülemiste City,25%,2021-05-07 17:06:41.544864
MyFitness Balti Jaama Turg,21%,2021-05-07 18:06:36.342236
MyFitness Järve,35%,2021-05-07 18:06:36.342239
MyFitness Kristiine,12%,2021-05-07 18:06:36.342240
MyFitness Lasnamäe Kärberi,9%,2021-05-07 18:06:36.342240
MyFitness Lasnamäe Linnamäe,8%,2021-05-07 18:06:36.342241
MyFitness Lasnamäe Virbi,0%,2021-05-07 18:06:36.342242
MyFitness Mustamäe,15%,2021-05-07 18:06:36.342243
MyFitness Narva,39%,2021-05-07 18:06:36.342243
MyFitness Pirita,5%,2021-05-07 18:06:36.342244
MyFitness Postimaja,17%,2021-05-07 18:06:36.342245
MyFitness Rocca al Mare,50%,2021-05-07 18:06:36.342245
MyFitness Rävala,33%,2021-05-07 18:06:36.342246
MyFitness Solaris,14%,2021-05-07 18:06:36.342246
MyFitness Tartu Annelinn,33%,2021-05-07 18:06:36.342247
MyFitness Tartu Kesklinn,16%,2021-05-07 18:06:36.342248
MyFitness Tartu Lõunakeskus,23%,2021-05-07 18:06:36.342248
MyFitness Viimsi,11%,2021-05-07 18:06:36.342249
MyFitness Viljandi,20%,2021-05-07 18:06:36.342249
MyFitness Viru,12%,2021-05-07 18:06:36.342250
MyFitness Ülemiste City,23%,2021-05-07 18:06:36.342250
MyFitness Balti Jaama Turg,9%,2021-05-07 19:06:14.451604
MyFitness Järve,13%,2021-05-07 19:06:14.451608
MyFitness Kristiine,3%,2021-05-07 19:06:14.451609
MyFitness Lasnamäe Kärberi,10%,2021-05-07 19:06:14.451610
